t_sec,elevation_deg,azimuth_deg,range_km,doppler_hz,fspl_db,snr_db
130,25.29553331770688,255.5584636383356,806.6055497866034,14072.676958263788,156.6038240295037,13.396175970496301
132,25.47029880317805,254.4524487181738,802.6209314381488,13291.256141122336,156.5608095422814,13.43919045771861
134,25.63631419742424,253.33253966541017,798.8740061074692,12498.397577031685,156.52016571815778,13.479834281842216
136,25.793150462654065,252.19933790795565,795.3681439236304,11694.297472415927,156.48196376608684,13.518036233913165
138,25.940393641679915,251.0534774049425,792.1064922223734,10879.698985813215,156.44627137020848,13.553728629791522
140,26.077636132850703,249.89571631470645,789.09221967415,10054.530952287674,156.41315513983062,13.586844860169379
142,26.204497425211425,248.72679735643155,786.3281094375819,9220.079300887744,156.38267593291107,13.61732406708893
144,26.320614980869983,247.54753791879264,783.816813972378,8376.779996259758,156.35489142266124,13.64510857733876
146,26.425652168813183,246.35878072763134,781.5607321101974,7525.479050512411,156.3298545340378,13.670145465962207
148,26.519292809383035,245.16148674146356,779.5621741129618,6666.471900489217,156.30761507599948,13.692384924000521
150,26.60125649270528,243.95658815484347,777.823078767198,5800.997654730053,156.28821641212465,13.711783587875345
152,26.671292342436256,242.7450798787071,776.3451905021464,4929.704619359239,156.27169725073054,13.72830274926946
154,26.72918450283365,241.52796670217768,775.129981063731,4053.502368012873,156.25809061696526,13.741909383034738
156,26.77474968152964,240.3063564221447,774.1787345641361,3173.0167794776376,156.2474246688957,13.75257533110431
158,26.807845800925516,239.08130760376127,773.4923945409575,2289.3838882983473,156.23972086932974,13.760279130670256
160,26.828368707180903,237.8538970959331,773.071656321277,1403.4316356301254,156.23499492754826,13.765005072451743
162,26.836253037467706,236.6252885406488,772.9169648374339,515.9952484301,156.23325670885419,13.766743291145815
164,26.831475306390338,235.3965781475582,773.0284616171731,-371.91322451227575,156.23450959748646,13.765490402513535
166,26.814052224988796,234.16888729996015,773.4060231952188,-1259.409861624147,156.23875091297174,13.761249087028261
168,26.784040349767807,232.9433071148027,774.0492662069233,-2145.6277319174546,156.24597197864017,13.75402802135983
170,26.741538207699477,231.72099095309758,774.9574923190385,-3029.516213230189,156.25615754127483,13.743842458725169
172,26.686681753974693,230.50300055434775,776.1297693193101,-3910.295169172022,156.26928674533724,13.73071325466276
174,26.619645262717693,229.2903990513186,777.5648894706536,-4787.045547835429,156.28533275376816,13.71466724623184
176,26.540637536201334,228.08419673620577,779.2614226036704,-5659.025394884445,156.30426345307552,13.69573654692448
178,26.449906595650663,226.8854430033816,781.2175816375002,-6525.044181831116,156.3260400874758,13.673959912524197
180,26.347727959549346,225.69507617412694,783.4314358386642,-7384.622735119154,156.350619793063,13.649380206936996
182,26.234405965618322,224.51399296336987,785.9008412466537,-8237.049805934357,156.37795498633142,13.622045013668583
184,26.11027904308046,223.34311542353547,788.6232787514336,-9081.074030154283,156.40799176376498,13.592008236235017
186,25.97570327278389,222.18324532336038,791.5961634755589,-9916.476031312519,156.44067352731616,13.559326472683836
